Hunderassen in Wien | Breed of Dogs in Vienna;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;Postal_CODE;Dog Breed;Anzahl;Ref_Date
AT1;AT13;AT113;90100;.;1010;Afghanischer Windhund;1;20123112
AT1;AT13;AT113;90100;.;1010;Amerikanischer Cockerspaniel;1;20123112
AT1;AT13;AT113;90100;.;1010;Amerikanischer Staffordshire-Terrier;2;20123112
AT1;AT13;AT113;90100;.;1010;Australian Shepherd Dog;2;20123112
AT1;AT13;AT113;90100;.;1010;Australian Terrier;1;20123112
AT1;AT13;AT113;90100;.;1010;Bayerischer Gebirgsschweisshund;2;20123112
AT1;AT13;AT113;90100;.;1010;Beagle;9;20123112
AT1;AT13;AT113;90100;.;1010;Beagle / Mischling;2;20123112
AT1;AT13;AT113;90100;.;1010;Bearded Collie;2;20123112
AT1;AT13;AT113;90100;.;1010;Bergamasker Hirtenhund / Mischling;1;20123112
AT1;AT13;AT113;90100;.;1010;Berner Sennenhund;2;20123112
AT1;AT13;AT113;90100;.;1010;Bernhardiner;1;20123112
AT1;AT13;AT113;90100;.;1010;Bichon Frisé;1;20123112
AT1;AT13;AT113;90100;.;1010;Bolonka Zwetna;1;20123112
AT1;AT13;AT113;90100;.;1010;Border-Collie;1;20123112
AT1;AT13;AT113;90100;.;1010;Border-Collie / Mischling;4;20123112
AT1;AT13;AT113;90100;.;1010;Boston Terrier;2;20123112
AT1;AT13;AT113;90100;.;1010;Boxer;2;20123112
AT1;AT13;AT113;90100;.;1010;Boxer / Mischling;1;20123112
AT1;AT13;AT113;90100;.;1010;Bracke / Mischling;1;20123112
AT1;AT13;AT113;90100;.;1010;Bulldog;3;20123112
AT1;AT13;AT113;90100;.;1010;Bullterrier;3;20123112
AT1;AT13;AT113;90100;.;1010;Cairn-Terrier;3;20123112
AT1;AT13;AT113;90100;.;1010;Cao de Agua Portugues;1;20123112
AT1;AT13;AT113;90100;.;1010;Cavalier King Charles Spaniel;3;20123112
AT1;AT13;AT113;90100;.;1010;Chihuahua kurzhaariger Schlag;8;20123112
AT1;AT13;AT113;90100;.;1010;Chihuahua kurzhaariger Schlag / Mischling;2;20123112
AT1;AT13;AT113;90100;.;1010;Chihuahua langhaariger Schlag;1;20123112
AT1;AT13;AT113;90100;.;1010;Chinesischer Schopfhund Hairless-Schlag;1;20123112
AT1;AT13;AT113;90100;.;1010;Chow-Chow;1;20123112
AT1;AT13;AT113;90100;.;1010;Cocker Spaniel;1;20123112
AT1;AT13;AT113;90100;.;1010;Cockerpoo;2;20123112
AT1;AT13;AT113;90100;.;1010;Collie / Mischling;2;20123112
