Hunderassen in Wien | Breed of Dogs in Vienna;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;Postal_CODE;Dog Breed;Anzahl;Ref_Date
AT1;AT13;AT113;90100;.;1010;Afghanischer Windhund / Mischling;1;20240603
AT1;AT13;AT113;90100;.;1010;Akita / Belgischer Schäferhund;1;20240603
AT1;AT13;AT113;90100;.;1010;Alaskan Malamute;1;20240603
AT1;AT13;AT113;90100;.;1010;American Cocker Spaniel;2;20240603
AT1;AT13;AT113;90100;.;1010;American Cocker Spaniel / Kleinpudel Schwarz;1;20240603
AT1;AT13;AT113;90100;.;1010;American Cocker Spaniel / Pudel;1;20240603
AT1;AT13;AT113;90100;.;1010;American Staffordshire Terrier;3;20240603
AT1;AT13;AT113;90100;.;1010;Australian Shepherd;4;20240603
AT1;AT13;AT113;90100;.;1010;Barbet;1;20240603
AT1;AT13;AT113;90100;.;1010;Bayrischer Gebirgsschweisshund;1;20240603
AT1;AT13;AT113;90100;.;1010;Beagle;3;20240603
AT1;AT13;AT113;90100;.;1010;Beagle / Mischling;3;20240603
AT1;AT13;AT113;90100;.;1010;Belgischer Schäferhund / Labrador Retriever;1;20240603
AT1;AT13;AT113;90100;.;1010;Berger Blanc Suisse / Pharaoh Hound;1;20240603
AT1;AT13;AT113;90100;.;1010;Berner Sennenhund;3;20240603
AT1;AT13;AT113;90100;.;1010;Bichon frise;2;20240603
AT1;AT13;AT113;90100;.;1010;Bolonka Zwetna;3;20240603
AT1;AT13;AT113;90100;.;1010;Border Collie;3;20240603
AT1;AT13;AT113;90100;.;1010;Border Collie / Australian Shepherd;1;20240603
AT1;AT13;AT113;90100;.;1010;Border Collie / Mischling;1;20240603
AT1;AT13;AT113;90100;.;1010;Border Collie / Mittelspitz Braun/Schwarz;1;20240603
AT1;AT13;AT113;90100;.;1010;Border Terrier;3;20240603
AT1;AT13;AT113;90100;.;1010;Border Terrier / Mischling;1;20240603
AT1;AT13;AT113;90100;.;1010;Border Terrier / Rauhhaar Dachshund Zwerg;1;20240603
AT1;AT13;AT113;90100;.;1010;Boston Terrier;3;20240603
AT1;AT13;AT113;90100;.;1010;Bracke / Mischling;2;20240603
AT1;AT13;AT113;90100;.;1010;Brandlbracke;1;20240603
AT1;AT13;AT113;90100;.;1010;Bull Terrier (Standard);1;20240603
AT1;AT13;AT113;90100;.;1010;Bulldog;1;20240603
AT1;AT13;AT113;90100;.;1010;Cairn Terrier;1;20240603
AT1;AT13;AT113;90100;.;1010;Cane Corso Italiano;2;20240603
AT1;AT13;AT113;90100;.;1010;Cao de Agua Portugues (Portug. Wasserhund);3;20240603
AT1;AT13;AT113;90100;.;1010;Cavalier King Charles Spaniel;6;20240603
AT1;AT13;AT113;90100;.;1010;Cavalier King Charles Spaniel / Pudel;1;20240603
AT1;AT13;AT113;90100;.;1010;Chihuahua Kurzhaar;17;20240603
AT1;AT13;AT113;90100;.;1010;Chihuahua Kurzhaar / Dackel;1;20240603
