Dog Breed,Min Height,Max Height
Affenpinscher,25,30
Afghanischer Windhund,63,74
Aïdi,52,62
Ainu-Hund,45,55
Airedale Terrier,56,61
Akbash,69,86
Akita Inu,58,70
Alano Espanol,55,63
Alaskan Malamute,56,66
Alpenländische Dachsbracke,34,42
Altdänischer Vorstehhund,50,60
American Akita,61,71
American Bulldog,50,71
American Bully,40,58
American Bully Xl,48,61
American Foxhound,53,64
American Pit Bull Terrier,43,53
American Staffordshire Terrier,43,48
American Staghound,71,76
Amerikanischer Cocker Spaniel,34,39
Anatolischer Hirtenhund,71,81
Anglo?francais de petite venerie,48,56
Anglo-francais de petite venerie,48,56
Anglo-Francais de Petite Vénerie,48,56
Appenzeller Gebirgsschweisshund,50,56
Ariegeois,52,58
Aussiedoodle,30,58
Australian Cattle Dog,43,51
Australian Shepherd,46,58
Australian Silky Terrier,23,26
Azawakh,60,74
Balkanbracke,46,55
Barbet,52,65
Barsoi,68,85
Basenji,38,43
Basset artesien normand,30,36
Basset Artésien-Normand,30,36
Basset Bleu de Gascogne,34,38
Basset Fauve de Bretagne,32,38
Basset Hound,28,38
Basset Hound,33,38
Bayerischer Gebirgsschweisshund,47,52
Bayrischer Gebirgsschweisshund,44,52
Beagle,33,41
Beagle Harrier,45,50
Beagle-Harrier,45,50
Bearded Collie,51,56
Beauceron,64,71
Bedlington Terrier,38,44
Bedlington-Terrier,38,44
Bergamasker Hirtenhund,58,62
Berger Blanc Suisse,55,66
Berger de Beauce (Beauceron),61,70
Berger de Brie (Briard),56,68
Berger de Picardie (Berger Picard),55,65
Berger de Pyrénées,38,48
Berger des Pyrenees a face rase,38,48
Berger des Pyrenees a poil long,38,48
Berger Picard,55,65
Berner Laufhund,40,46
Berner Niederlaufhund,33,41
Berner Sennenhund,58,70
Bernhardiner,65,90
Bichon,23,30
Bichon frise,23,30
Bichon Frisé,23,30
Bichon/Yorkie,20,30
Billy,60,70
Black and Tan Coonhound,53,69
Black-and-tan Coonhound,58,69
Bloodhound,58,69
Blue Lacy,43,56
Bobtail,51,61
Boerboel,60,70
Bologneser,25,30
Bolonka,22,26
Bolonka Zwetna,24,26
Bordeauxdogge,57,67
Border Collie,46,56
Border Terrier,28,40
Borzoi,68,85
Bosanski Ostrodlaki Gonic - Barac,46,56
Bosnischer Rauhhaariger Laufhund,46,56
Boston Terrier,38,43
Bouvier des Flandres,59,68
Boxer,53,63
Brabancon,18,20
Bracco Italiano,55,67
Bracke,40,53
Brandlbracke,48,56
Braque d´Auvergne,53,63
Braque d'Auvergne,53,63
Braque du Bourbonnais,48,57
Braque francais - Type Gascogne (Grande),56,69
Braque francais - Type Pyrenees (Petite),47,58
Braque Saint-Germain,56,62
Brasilianischer Terrier,35,40
Briard,56,69
Briquet Griffon Vendeen,48,55
Broholmer,70,80
Bull Terrier (Standard),45,55
Bulldog,31,40
Bullmastiff,61,68
Bullterrier,45,55
Ca de Bestiar,55,73
Ca de Bestiar (Mallorca Schäferhund),55,73
Cairn Terrier,23,33
Canaan Dog,50,60
Cane Corso,58,70
Cane Corso Italiano,60,68
Cao da Serra de Aires,45,55
