,Dog Breed
0,beagle
1,chihuahua kurzhaariger schlag
2,dackel
3,deutscher schäferhund
4,englischer cockerspaniel
5,französische bulldogge
6,golden retriever
7,havaneser
8,jack-russell-terrier
9,labrador retriever
10,malteser
11,mops
12,parson-russell-terrier
13,pudel
14,rauhhaardackel (zwergdackel)
15,shih tzu
16,toy-pudel
17,west highland white terrier
18,yorkshire terrier
19,amerikanischer cockerspaniel
20,amerikanischer pit-bullterrier
21,amerikanischer staffordshire-terrier
22,amerikanischer staffordshire-terrier
23,australian shepherd dog
24,beagle
25,border-collie
26,border-collie
27,boxer
28,cavalier king charles spaniel
29,chihuahua kurzhaariger schlag
30,chihuahua kurzhaariger schlag
31,chihuahua langhaariger schlag
32,cocker spaniel
33,collie
34,collie
35,dackel
36,dackel
37,deutsche dogge
38,deutscher schäferhund
39,deutscher schäferhund
40,dogo argentino
41,englischer cockerspaniel
42,englischer cockerspaniel
43,französische bulldogge
44,golden retriever
45,golden retriever
46,havaneser
47,havaneser
48,jack-russell-terrier
49,jack-russell-terrier
50,labrador retriever
51,labrador retriever
52,magyar vizsla
53,malteser
54,malteser
55,mops
56,parson-russell-terrier
57,pekinese
58,pekinese
59,pudel
60,rauhhaardackel (zwergdackel)
61,rhodesian ridgeback
62,rottweiler
63,schnauzer
64,schnauzer
65,shih tzu
66,siberian husky
67,siberian husky
68,staffordshire-bullterrier
69,west highland white terrier
70,yorkshire terrier
71,yorkshire terrier
72,zwergpinscher
73,zwergpinscher
74,zwergspitz
75,zwergspitz
76,amerikanischer pit-bullterrier
77,amerikanischer staffordshire-terrier
78,amerikanischer staffordshire-terrier
79,australian shepherd dog
80,bayerischer gebirgsschweisshund
81,beagle
82,berner sennenhund
83,border-collie
84,border-collie
85,boxer
86,bracke
87,bulldog
88,cavalier king charles spaniel
89,chihuahua kurzhaariger schlag
90,cocker spaniel
91,collie
92,collie
93,dackel
94,dackel
95,deutscher schäferhund
96,deutscher schäferhund
97,drahthaar-foxterrier
98,englischer cockerspaniel
99,flat coated retriever
100,französische bulldogge
101,golden retriever
102,golden retriever
103,havaneser
104,havaneser
105,jack-russell-terrier
106,jack-russell-terrier
107,kleiner münsterländer
108,labrador retriever
109,labrador retriever
110,magyar vizsla
111,malteser
112,malteser
113,mops
114,parson-russell-terrier
115,pekinese
116,pekinese
117,pudel
118,rauhhaardackel (zwergdackel)
119,rottweiler
120,schnauzer
121,shih tzu
122,siberian husky
123,siberian husky
124,west highland white terrier
125,whippet
126,yorkshire terrier
127,yorkshire terrier
128,zwergpinscher
