Dog Breed,Min Height,Max Height
Affenpinscher,25,30
Afghanischer Windhund,63,74
Airedale Terrier,56,61
Akbash,69,86
Akita Inu,58,70
Alano Espanol,55,63
Alaskan Malamute,56,66
Alpenländische Dachsbracke,34,42
American Akita,61,71
American Bully,40,58
American Bully Xl,48,61
American Pit Bull Terrier,43,53
American Staffordshire Terrier,43,48
American Bulldog,50,71
Amerikanischer Cocker Spaniel,34,39
Anatolischer Hirtenhund,71,81
Australian Cattle Dog,43,51
Australian Shepherd,46,58
Aïdi,52,62
Basenji,38,43
Basset Hound,28,38
Beagle,33,41
Bearded Collie,51,56
Beauceron,64,71
Berner Sennenhund,58,70
Bichon,23,30
Blue Lacy,43,56
Bobtail,51,61
Bologneser,25,30
Bolonka,22,26
Bordeauxdogge,57,67
Border Collie,46,56
Border Terrier,28,40
Borzoi,68,85
Boxer,53,63
Briard,56,69
Broholmer,70,80
Bullmastiff,61,68
Bullterrier,45,55
Cairn Terrier,23,33
Cane Corso,58,70
Cavalier King Charles Spaniel,30,33
Chihuahua,15,23
Chinesischer Schopfhund,23,33
Chow Chow,46,56
Cocker Spaniel,36,43
Coton De Tuléar,22,30
Dackel,25,45
Dalmatiner,56,61
Deutsch Drahthaar,57,68
Deutsch Kurzhaar,53,64
Deutsch Langhaar,58,70
Deutsche Bracke,40,53
Deutsche Dogge,71,86
Deutscher Pinscher,40,45
Deutscher Schäferhund,55,65
Dobermann,61,72
Dogo Argentino,60,68
Dogo Canario,56,65
Elo,40,60
Englische Bulldogge,31,40
Epagneul Breton,46,52
Eurasier,48,60
Fila Brasileiro,60,75
Flat-Coated Retriever,56,62
Foxterrier,33,41
Französische Bulldogge,24,35
Französischer Spaniel,54,51
Golden Retriever,51,61
Greyhound,68,76
Groenendaeler,60,62
Großer Münsterländer,58,65
Großpudel,45,60
Havaneser,23,27
Hokkaido,46,52
Hovawart,58,70
Husky,51,60
Irischer Rot-Weißer Setter,57,66
Irischer Wolfshund,71,90
Irish Terrier,45,48
Jack Russell Terrier,25,38
Kangal-Hirtenhund,63,80
Kleinpudel,35,45
Labrador Retriever,55,62
Lagotto Romagnolo,41,48
Magyar Vizsla,53,64
Malinois,56,66
Malteser,20,25
Manchester Terrier,35,41
Miniature Australian Shepherd,33,46
Mops,25,36
Mudi,38,47
Neufundländer,63,74
Papillon,20,28
Pekinese,15,23
Pomsky,20,40
Pyrenäenberghund,65,82
Rhodesian Ridgeback,61,69
Rottweiler,56,69
Russkiy Toy,20,28
Sakhalin Husky,53,60
Sarplaninac,54,62
Schipperke,25,33
Schottischer Terrier,25,28
Shar-Pei,43,51
Shetland Sheepdog,33,40
Shiba Inu,35,41
Shih Tzu,20,28
Taiwanhund,43,53
Tervueren,56,66
Tibetan Mastiff,61,76
Tibetdogge,61,76
Toy-Pudel,24,28
Weimaraner,59,67
Weißer Schweizer Schäferhund,55,66
Zwergpudel,28,35
Zwergspitz,18,27
