Anzahl der Hunde (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Number of dogs (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;DOG_VALUE;DOG_DENSITY;;;;;;;;;;
AT13;90000;90000;2002;20020101; 46.933 ; 29,87 ;;;;;;;;;;
AT13;90100;90100;2002;20020101; 542 ; 30,74 ;;;;;;;;;;
AT13;90200;90200;2002;20020101; 2.251 ; 25,29 ;;;;;;;;;;
AT13;90300;90300;2002;20020101; 1.904 ; 23,16 ;;;;;;;;;;
AT13;90400;90400;2002;20020101; 615 ; 21,23 ;;;;;;;;;;
AT13;90500;90500;2002;20020101; 862 ; 17,31 ;;;;;;;;;;
AT13;90600;90600;2002;20020101; 604 ; 21,17 ;;;;;;;;;;
AT13;90700;90700;2002;20020101; 532 ; 18,40 ;;;;;;;;;;
AT13;90800;90800;2002;20020101; 474 ; 21,33 ;;;;;;;;;;
AT13;90900;90900;2002;20020101; 865 ; 22,59 ;;;;;;;;;;
AT13;91000;91000;2002;20020101; 4.142 ; 27,11 ;;;;;;;;;;
AT13;91100;91100;2002;20020101; 2.667 ; 33,85 ;;;;;;;;;;
AT13;91200;91200;2002;20020101; 2.215 ; 28,05 ;;;;;;;;;;
AT13;91300;91300;2002;20020101; 1.935 ; 38,44 ;;;;;;;;;;
AT13;91400;91400;2002;20020101; 2.574 ; 32,52 ;;;;;;;;;;
AT13;91500;91500;2002;20020101; 1.198 ; 17,75 ;;;;;;;;;;
AT13;91600;91600;2002;20020101; 1.922 ; 21,86 ;;;;;;;;;;
AT13;91700;91700;2002;20020101; 1.252 ; 25,64 ;;;;;;;;;;
AT13;91800;91800;2002;20020101; 1.322 ; 29,05 ;;;;;;;;;;
AT13;91900;91900;2002;20020101; 2.454 ; 37,56 ;;;;;;;;;;
AT13;92000;92000;2002;20020101; 1.801 ; 23,44 ;;;;;;;;;;
AT13;92100;92100;2002;20020101; 5.461 ; 42,10 ;;;;;;;;;;
AT13;92200;92200;2002;20020101; 5.848 ; 42,35 ;;;;;;;;;;
AT13;92300;92300;2002;20020101; 3.493 ; 40,72 ;;;;;;;;;;
AT13;90000;90000;2003;20030101; 47.428 ; 29,78 ;;;;;;;;;;
AT13;90100;90100;2003;20030101; 537 ; 30,61 ;;;;;;;;;;
AT13;90200;90200;2003;20030101; 2.301 ; 25,58 ;;;;;;;;;;
AT13;90300;90300;2003;20030101; 1.923 ; 23,37 ;;;;;;;;;;
AT13;90400;90400;2003;20030101; 597 ; 20,34 ;;;;;;;;;;
AT13;90500;90500;2003;20030101; 881 ; 17,49 ;;;;;;;;;;
AT13;90600;90600;2003;20030101; 592 ; 20,55 ;;;;;;;;;;
AT13;90700;90700;2003;20030101; 545 ; 18,81 ;;;;;;;;;;
AT13;90800;90800;2003;20030101; 473 ; 20,43 ;;;;;;;;;;
AT13;90900;90900;2003;20030101; 841 ; 21,96 ;;;;;;;;;;
AT13;91000;91000;2003;20030101; 4.247 ; 27,16 ;;;;;;;;;;
AT13;91100;91100;2003;20030101; 2.693 ; 33,46 ;;;;;;;;;;
AT13;91200;91200;2003;20030101; 2.227 ; 27,74 ;;;;;;;;;;
AT13;91300;91300;2003;20030101; 1.928 ; 37,95 ;;;;;;;;;;
AT13;91400;91400;2003;20030101; 2.574 ; 32,10 ;;;;;;;;;;
AT13;91500;91500;2003;20030101; 1.228 ; 18,07 ;;;;;;;;;;
AT13;91600;91600;2003;20030101; 1.894 ; 21,24 ;;;;;;;;;;
AT13;91700;91700;2003;20030101; 1.283 ; 25,96 ;;;;;;;;;;
AT13;91800;91800;2003;20030101; 1.357 ; 29,58 ;;;;;;;;;;
AT13;91900;91900;2003;20030101; 2.472 ; 37,44 ;;;;;;;;;;
AT13;92000;92000;2003;20030101; 1.832 ; 23,25 ;;;;;;;;;;
AT13;92100;92100;2003;20030101; 5.573 ; 42,25 ;;;;;;;;;;
AT13;92200;92200;2003;20030101; 5.913 ; 42,11 ;;;;;;;;;;
AT13;92300;92300;2003;20030101; 3.517 ; 40,67 ;;;;;;;;;;
AT13;90000;90000;2004;20040101; 48.093 ; 29,86 ;;;;;;;;;;
AT13;90100;90100;2004;20040101; 515 ; 29,62 ;;;;;;;;;;
AT13;90200;90200;2004;20040101; 2.332 ; 25,67 ;;;;;;;;;;
AT13;90300;90300;2004;20040101; 1.933 ; 23,28 ;;;;;;;;;;
AT13;90400;90400;2004;20040101; 586 ; 19,94 ;;;;;;;;;;
AT13;90500;90500;2004;20040101; 882 ; 17,26 ;;;;;;;;;;
AT13;90600;90600;2004;20040101; 587 ; 20,32 ;;;;;;;;;;
AT13;90700;90700;2004;20040101; 577 ; 19,89 ;;;;;;;;;;
AT13;90800;90800;2004;20040101; 497 ; 21,32 ;;;;;;;;;;
AT13;90900;90900;2004;20040101; 854 ; 21,97 ;;;;;;;;;;
AT13;91000;91000;2004;20040101; 4.365 ; 27,43 ;;;;;;;;;;
AT13;91100;91100;2004;20040101; 2.853 ; 35,06 ;;;;;;;;;;
AT13;91200;91200;2004;20040101; 2.253 ; 27,42 ;;;;;;;;;;
AT13;91300;91300;2004;20040101; 1.915 ; 37,63 ;;;;;;;;;;
AT13;91400;91400;2004;20040101; 2.568 ; 31,90 ;;;;;;;;;;
AT13;91500;91500;2004;20040101; 1.222 ; 17,77 ;;;;;;;;;;
AT13;91600;91600;2004;20040101; 1.964 ; 21,87 ;;;;;;;;;;
AT13;91700;91700;2004;20040101; 1.300 ; 25,86 ;;;;;;;;;;
AT13;91800;91800;2004;20040101; 1.460 ; 31,53 ;;;;;;;;;;
AT13;91900;91900;2004;20040101; 2.462 ; 37,06 ;;;;;;;;;;
AT13;92000;92000;2004;20040101; 1.861 ; 23,43 ;;;;;;;;;;
AT13;92100;92100;2004;20040101; 5.606 ; 41,90 ;;;;;;;;;;
AT13;92200;92200;2004;20040101; 5.980 ; 41,93 ;;;;;;;;;;
AT13;92300;92300;2004;20040101; 3.521 ; 40,43 ;;;;;;;;;;
AT13;90000;90000;2005;20050101; 49.856 ; 30,54 ;;;;;;;;;;
AT13;90100;90100;2005;20050101; 516 ; 29,84 ;;;;;;;;;;
AT13;90200;90200;2005;20050101; 2.360 ; 25,83 ;;;;;;;;;;
AT13;90300;90300;2005;20050101; 1.932 ; 23,05 ;;;;;;;;;;
AT13;90400;90400;2005;20050101; 614 ; 20,76 ;;;;;;;;;;
AT13;90500;90500;2005;20050101; 939 ; 18,10 ;;;;;;;;;;
AT13;90600;90600;2005;20050101; 614 ; 21,16 ;;;;;;;;;;
AT13;90700;90700;2005;20050101; 553 ; 18,96 ;;;;;;;;;;
AT13;90800;90800;2005;20050101; 488 ; 20,69 ;;;;;;;;;;
AT13;90900;90900;2005;20050101; 842 ; 21,33 ;;;;;;;;;;
AT13;91000;91000;2005;20050101; 4.630 ; 28,28 ;;;;;;;;;;
AT13;91100;91100;2005;20050101; 3.022 ; 36,66 ;;;;;;;;;;
AT13;91200;91200;2005;20050101; 2.334 ; 28,00 ;;;;;;;;;;
AT13;91300;91300;2005;20050101; 1.926 ; 37,53 ;;;;;;;;;;
AT13;91400;91400;2005;20050101; 2.671 ; 32,66 ;;;;;;;;;;
